property name ,Room Price (in BDT or any other currency),review_count,Comment about room
Mercure Paris Gare Montparnasse,View all 6 deals,"1,824",room was spacious
Citadines Montmartre Paris,View all 6 deals,749,
Best Western Empire Elysees,View all 5 deals,527,room nice and clean
Hotel des Trois Colleges,View all 6 deals,236,
Hotel Pax Opera,View all 6 deals,"1,148",
Ibis Paris Place d'Italie 13eme,View all 6 deals,"1,003",Spacious room
Best Western Hotel Mercedes Arc De Triomphe,View all 5 deals,44,clean and comfortable room
Hotel Audran,View all 5 deals,654,
Hotel France D'Antin,View all 6 deals,216,Superior room was
Hotel Chavanel,View all 5 deals,205,Very comfortable room
Central Hotel Paris,View all 5 deals,511,room was spacious and clean
Timhotel Invalides Eiffel,View all 6 deals,573,
Mercure Paris Opera Grands Boulevards,View all 6 deals,528,
Hotel Lumieres Montmartre Paris,View all 5 deals,459,
Ibis Styles Paris Cadet Lafayette,View all 6 deals,"1,127",
Hotel Louvre Bons Enfants,View all 5 deals,789,
Hotel George Sand,View all 4 deals,190,
Mercure Paris Tour Eiffel Grenelle Hotel,View all 6 deals,"1,012",
Hotel Westside Arc de Triomphe,View all 5 deals,392,
"Hotel Apolonia Paris Montmartre, Sure Hotel collection by BW",View all 5 deals,402,room was clean
Hotel & Spa Royal Madeleine,View all 5 deals,178,spacious room
Perreyve Hotel,View all 6 deals,337,
Hotel des Batignolles,View all 5 deals,734,room was clean
La Planque Hotel,View all 5 deals,70,Spacious Room
Hotel Elysees Opera,View all 5 deals,387,
Mercure Paris Bastille Saint Antoine,View all 6 deals,603,room was clean
Hotel London Paris,View all 6 deals,464,room was nice and clean
Le Relais du Marais,View all 5 deals,327,
Timhotel Opera Grands Magasins,View all 4 deals,245,
Mercure Paris Gare de Lyon Opera Bastille,View all 6 deals,53,
Hotel Paris Rivoli,,477,
Pavillon Opera Bourse,,467,
Campanile Paris 14 - Maine Montparnasse,,766,Clean room
Hotel Paris Opera Affiliated by Melia,View all 5 deals,"1,643",
Au Pacific Hotel,,673,
Novotel Paris 17,View all 6 deals,708,Room was super clean
Hotel Trianon Rive Gauche,View all 5 deals,"1,322",beautiful room
Belta Hotel Residence,View all 4 deals,410,room was clean
Hotel Alison,View all 5 deals,266,
Citadines Trocadero Paris,View all 6 deals,413,
Hotel du Haut Marais,,88,
Hotel Central Saint Germain,View all 5 deals,495,
Duminy Vendome,View all 5 deals,47,
Hotel du Beaumont,View all 5 deals,332,
Hotel des Metallos,View all 5 deals,324,
Hotel Haussmann Saint Augustin,View all 5 deals,105,
Hotel Amelie,View all 5 deals,341,
Gardette Park Hotel,View all 5 deals,481,
Ibis Paris Gare de Lyon Diderot 12th Hotel,View all 6 deals,"1,329",Room clean
Le Grand Quartier,View all 6 deals,73,Our room was spacious
La Demeure Montaigne,View all 5 deals,102,spacious room size
Hotel Terre Neuve,View all 5 deals,70,
ATN Hotel Paris St-Lazare,View all 5 deals,424,
Hotel de Suede St. Germain,View all 5 deals,509,
Hotel Ibis Paris Canal Saint Martin,View all 6 deals,684,
Residence Didot Montparnasse Paris,View all 4 deals,358,
Hotel Saint Martin Bastille,View all 5 deals,478,
D'win Hotel,View all 6 deals,226,nice and clean room
Median Paris Porte de Versailles,View all 4 deals,415,
Ibis Styles Hotel Paris Gare du Nord TGV,,"1,069",clean room
Un Hotel a Bastille,,"1,402",
Hotel du Quai-Voltaire,,481,
Hotel Monte Carlo,,704,
Alfa Hotel Nation,,502,
Cardinal Rive Gauche,,281,
The Westin Paris - Vendome,View all 5 deals,"4,497",room was clean
Hotel Botaniste,View all 5 deals,45,room was lovely and clean
Citadines Bastille Gare de Lyon Paris,View all 6 deals,588,
Best Western Nouvel Orleans Montparnasse,View all 5 deals,975,
Absolute Hotel Paris,View all 5 deals,336,
Hotel Verneuil Saint-Germain,View all 5 deals,83,comfortable living room
Hotel Bridget,View all 5 deals,65,room nicely decorated
Hotel Carladez Cambronne,View all 5 deals,344,
B&B HOTEL Paris 17 Batignolles,View all 5 deals,"1,627",Comfortable Room
TRIBE Paris Batignolles,View all 6 deals,61,
Hotel Montpensier,View all 4 deals,858,clean room to sleep in
Hotel de Fleurie,View all 5 deals,468,
Austin's Saint Lazare Hotel,View all 5 deals,304,room was comfortable and clean
Plug-Inn Hostel,,509,room was small but clean
Kyriad Paris 13 - Italie Gobelins,View all 5 deals,783,
Hotel Baudelaire Opera,View all 6 deals,289,
La Mondaine,View all 5 deals,72,
Derby Eiffel Hotel,View all 5 deals,681,
Ibis Gare Du Nord TGV,View all 6 deals,"1,018",Room was clean
Hotel Parisianer,View all 6 deals,66,room was clean
Timhotel Palais Royal,View all 6 deals,561,clean room and a great
Cosmos Hotel,View all 4 deals,224,
Hotel Choiseul Opera,,359,The superior double room
Hotel Kleber Champs-Elysees Tour Eiffel Paris,,393,
Best Western The Blake Paris Gare Saint Lazare,,384,
Pavillon Villiers Etoile,,869,
Hameau De Passy,View all 5 deals,350,
Hotel Montparnasse Alesia,View all 5 deals,334,
Hotel Alize Grenelle Tour Eiffel,View all 5 deals,331,
Hotel des Bains,View all 4 deals,230,
Hotel Verlain,View all 5 deals,330,
Hotel des Mines,View all 6 deals,48,
Agate Hotel,View all 5 deals,161,
Best Western Hotel Le Montmartre Saint Pierre,View all 5 deals,231,
Ibis Styles Paris Buttes Chaumont,View all 6 deals,324,room was clean and comfortable
Relais du Pre,View all 6 deals,236,
"voco Paris Montparnasse, an IHG hotel",View all 6 deals,70,room was clean
Best Western Hotel Opera Drouot,View all 6 deals,298,
Queen's Hotel,View all 5 deals,140,
Novotel Paris Vaugirard Montparnasse,View all 6 deals,"2,378",Room was spacious and clean
Hotel Du Pre,View all 5 deals,234,
Hotel Paris Lafayette,View all 6 deals,666,
Hotel Bonaparte,,283,
Hotel Relais Monceau,View all 5 deals,212,very comfortable room
Hotel Bresil Opera,View all 5 deals,167,
Mercure Paris Gare de Lyon TGV,View all 6 deals,"2,889",clean room
Hotel Auteuil Tour Eiffel,View all 5 deals,130,
Hotel Rosalie,View all 4 deals,32,
Hotel Toujours,View all 6 deals,324,
Hotel B Square,View all 5 deals,420,
Hotel Chambellan Morgane,View all 5 deals,179,
Ibis Styles Paris Gare de l'Est TGV,View all 6 deals,343,room was clean
Hotel Celeste,,92,
Hotel Des Trois Gares,View all 5 deals,225,
Paris Marriott Rive Gauche Hotel & Conference Center,,"2,684",
Hotel Charles V,View all 5 deals,68,Superior Room
Hotel ibis Styles Paris Nation Cours de Vincennes,View all 6 deals,184,
Hotel Du Quai De Seine,View all 5 deals,186,
Hotel AMI,View all 5 deals,26,Room was spacious
Mercure Paris Centre Eiffel Tower Hotel,View all 6 deals,"5,759",an Eiffel Tower view room
Citadines Austerlitz Paris,View all 5 deals,210,Spacious room
Hotel Victor Masse,View all 5 deals,684,
Grand Hotel du Loiret,View all 4 deals,306,
Hotel Claude Bernard Saint-Germain,,375,
Hotel Le Compostelle,View all 4 deals,253,nice and clean room
Best Western Hotel Ronceray Opera,View all 5 deals,"1,130",
Hotel De Nesle,View all 4 deals,419,
Green Hotels Paris 13,View all 5 deals,254,
Hotel Bonne Nouvelle,View all 5 deals,125,
Sinner Paris,View all 6 deals,55,fantastic room
Hotel Des Pyrenees,View all 4 deals,125,
Moulin Plaza Hotel,View all 5 deals,470,
Hotel des Arenes,View all 5 deals,529,room included
Hotel Etoile Trocadero,View all 5 deals,395,
Hotel Panache,View all 6 deals,203,room large
Mercure Paris Opera Louvre,View all 6 deals,670,
Mercure Paris Opera Faubourg Montmartre,View all 6 deals,957,room was exceptionally clean
Ibis Paris Italie Tolbiac,View all 6 deals,569,
Solar Hotel,,281,room was clean
Hotel Imperial,View all 4 deals,127,Room was clean
Hotel Bellevue,,170,
Ibis Paris Gare de l'Est TGV Hotel,View all 6 deals,"1,176",
Hotel Prince Albert Louvre,,512,
Saint James Albany Hotel & Spa,,"2,287",
Perfect Hotel & Hostel,,729,
Hotel Saint Paul Le Marais,,157,
Novotel Suites Paris Montreuil Vincennes Hotel,View all 6 deals,"1,501",spacious room
Ibis Paris Avenue d'Italie 13th Hotel,View all 6 deals,"1,228",
Citadines Montparnasse Paris,View all 6 deals,314,
Hotel Gavarni,View all 5 deals,237,comfortable room
Hotel Paris Villette,View all 5 deals,428,
Hotel Bellevue Paris Montmartre,View all 5 deals,"1,200",double room was clean
The Originals City Hotel Lecourbe,View all 6 deals,675,
Fertel Maillot,View all 4 deals,297,
Hotel de France Gare de Lyon Bastille,View all 5 deals,20,
Hotel Belfast,View all 6 deals,219,room was clean
Comfort Hotel Nation Pere Lachaise - Paris 11,View all 5 deals,381,room was clean
Hotel Andre Latin,,711,
Mercure Paris Gare de L'Est Magenta,View all 6 deals,711,room was clean
Hotel Thoumieux,View all 5 deals,204,clean room
Hotel Beaurepaire (Paris - Republique),View all 5 deals,371,room was spotlessly clean
Hotel Eugenie,View all 5 deals,368,
Appia la Fayette Hotel,View all 5 deals,177,room was clean
"The Originals Boutique, Hotel Maison Montmartre, Paris",View all 6 deals,297,Room was nice and clean
Hotel Garden Saint Martin,View all 5 deals,160,
Maison Barbes,View all 4 deals,45,
Hotel Meslay Republique,View all 5 deals,362,
Timhotel Tour Montparnasse,View all 6 deals,558,
Hotel des Arts,,186,
Hotel Montparnasse Saint-Germain,View all 5 deals,233,
Hotel Kyriad Paris 12 - Nation,,252,
Manolita Paris,,27,Our room was spotlessly clean
Hotel Regyn's Montmartre,View all 5 deals,422,room was clean and comfortable
Best Western Bretagne Montparnasse,,666,
Cercle National des Armees Saint-Augustin,,177,
Hotel Eldorado,,337,
Hotel Nude Paris,View all 5 deals,363,
Hotel Clarisse,View all 5 deals,77,
Ibis Paris Gare du Nord Chateau Landon 10th Hotel,View all 6 deals,"1,473",spacious room
Crystal Hotel,View all 5 deals,364,
Hotel Crimee,View all 4 deals,295,
Hotel Tivoli,View all 5 deals,213,
Hotel Ascot Opera,View all 5 deals,315,
Timhotel Tour Eiffel,View all 6 deals,890,room was clean
Nouvel Hotel,View all 5 deals,143,room wasn’t huge
Cheval Blanc Paris,View all 4 deals,83,room was spacious
Hotel Provinces Opera,View all 6 deals,710,room was spacious
Ibis Styles Paris Nation Porte De Montreuil,View all 6 deals,292,
Marquis Faubourg Saint-Honore,View all 5 deals,171,nice large room
Hotel Saint Pierre,View all 5 deals,423,
Ibis Paris Gare du Nord La Fayette,View all 6 deals,"1,121",
Hotel Apollinaire,View all 5 deals,271,
Hotel Elysee Etoile,View all 6 deals,231,
Hotel Montholon,View all 5 deals,131,
Timhotel Opera Madeleine,View all 6 deals,886,spacious room
Drawing House,View all 5 deals,29,clean room
Hotel Villa Luxembourg,View all 6 deals,851,room…excellent
Hotel Lautrec Opera,View all 5 deals,519,
Hotel de la Place des Alpes,View all 4 deals,248,
SO/ Paris Hotel,View all 6 deals,36,view room which was
Hotel Devillas,,710,
Maison 46,,438,
Hotel Roma Sacre Coeur,,753,
Hotel du Nord et de l'Est,,489,
L'Hotel Particulier,,154,
D'Enghien Hotel,,242,
Ibis Paris Montmartre 18eme,View all 6 deals,"4,304",room was clean
Hotel Beaugrenelle Tour Eiffel,View all 6 deals,339,room was clean
Hotel De La Comete,View all 4 deals,325,
Marmotel Etoile,,246,
Hotel Relais Saint Sulpice,View all 4 deals,214,clean room
Hotel du Parc Montsouris,View all 4 deals,282,room was comfortable and clean
Porte de Versailles Hotel,View all 5 deals,213,
Hotel des Buttes Chaumont,View all 5 deals,138,
Mercure Paris Gare du Nord La Fayette Hotel,View all 6 deals,692,
Hotel Ibis Styles Paris Alesia Montparnasse,View all 6 deals,741,
Royal Wagram,View all 4 deals,308,
Hotel Saint-Louis Marais,View all 4 deals,331,
Hotel Les Jardins Du Luxembourg,View all 4 deals,24,room was clean
ibis Styles Montmartre Batignolles,View all 6 deals,619,
Hotel Trema,View all 4 deals,152,spacious room and bath
Grand Hotel de Turin,View all 5 deals,749,clean room with everything you need
Hotel du Cygne,View all 4 deals,248,
Ibis Styles Paris Gare de Lyon Bastille,View all 6 deals,94,Great room
Hotel du Dragon,,194,clean room
Hotel Regina Opera,View all 5 deals,378,Room was super clean
Hotel Londres Saint-Honore,View all 5 deals,180,
Hotel Korner Etoile,,26,
Hotel Lucien & Marinette,View all 5 deals,70,comfortable room with
15 MONTPARNASSE,View all 5 deals,46,
Hotel Hor Les Lumieres,View all 4 deals,65,
Kyriad Paris 10 - Canal Saint Martin - Republique,View all 5 deals,460,
Pavillon Louvre Rivoli,,619,
Pavillon Porte de Versailles,View all 4 deals,548,
Residence Hotel Villa Montmartre,,181,
Hotel Tuileries,,184,
Ideal Hotel design,,885,
Hotel Royal Fromentin,,574,
Kyriad Paris 10 - Gare De L'Est,,304,
Le Singulier,,81,
Eiffel Villa Garibaldi,,417,Room was small but clean
"Hotel Camille Paris Gare de Lyon, Tapestry Collection by Hilton",View all 5 deals,109,room was clean and comfortable
Ibis Paris Ornano Montmartre North 18th Hotel,View all 6 deals,909,
Hotel des Pavillons,,122,room was clean
Hotel Le Home Latin,View all 5 deals,665,
Hotel Malar,View all 5 deals,351,superior room
Hotel Boileau,,144,
"Hotel Litteraire Arthur Rimbaud, BW Signature Collection",View all 6 deals,99,Clean room
Atelier Vavin,View all 5 deals,297,
Hotel ibis Daumesnil Porte Doree,View all 6 deals,411,
Hotel Bel Oranger Gare de Lyon,View all 5 deals,140,
Hotel St. Georges Lafayette,View all 5 deals,488,
Timhotel Odessa Montparnasse,View all 6 deals,491,hotel room was clean and
Hotel La Belleville,View all 5 deals,24,
Tonic Hotel Saint Germain,View all 5 deals,244,
Hotel Prince de Conde,View all 5 deals,169,
Hotel Noir,View all 5 deals,144,Excellent room service
Hotel du Chemin vert Paris,View all 5 deals,224,
Hotel Clairefontaine,View all 5 deals,400,room was clean
Hotel du Bresil,,336,
La Reserve Paris Apartments,,38,
Hotel Trianon Gare de Lyon,View all 5 deals,227,
Le Pera,,350,
Palma Hotel,,163,
Hilton Dubai Palm Jumeirah," 34,610",477,Thanks for the friendly and great valet service Thomson and team always professional Fantastic service.Hotel is
1. Atlantis The Palm," 61,508","4,758",We stayed in a regal suite 15402 with the most amazing
"2. Mandarin Oriental Jumeira, Dubai"," 132,919",863,"This is really a top hotel , very good service , super friendly staff , beautiful hotel right in front of the Kalifa situated in een more quiet zone of Dubai"
3. Address Beach Resort," 108,306","2,086",But the best part of it is that they upgraded
4. Jumeirah Beach Hotel," 60,718","3,264","Amazing hotel, amazing staff, amazing location great food"
5. FIVE Palm Jumeirah Dubai," 56,433","11,399",Amazing place and staff name Haena and Abhishek were extremely nice and polite as they help us with everything Pool
Hilton Dubai Jumeirah," 26,900","7,583",Thanks June for all your assistance
"6. The Ritz-Carlton, Dubai"," 95,102","6,546","immaculate for us by the friendly team- Negi, Hom and Vinod, who surprised our children each evening with their towel creations- very impressive!"
7. Waldorf Astoria Dubai Palm Jumeirah," 64,014","10,631",One of the best hotel in Dubai they
8. Nikki Beach Resort & Spa Dubai," 74,942","3,002","Great resort , rooms are nice modern and comfortable"
9. The Retreat Palm Dubai MGallery by Sofitel," 40,615","3,949",Very good hotel excellent team Islam was very caring and gave us best service
10. Anantara Dubai The Palm Resort & Spa," 67,321","10,431","wonderful view of the city; great dining experiences (especially in Bushman's Restaurant); wonderful swimming facilities (pools, lagoons, beach), very attentive staff."
Conrad Dubai," 26,344","5,993","Thanks Conrad family, every thing is great, the stuff there very kind and friendly and"
11. Burj Al Arab," 155,019","6,725","Such a luxury brand with service and friendly staff, food amazing with style, breath taking luxury lobby, testy"
12. Caesars Palace Dubai," 76,794","2,894",I stayed in the palace
13. Fairmont The Palm," 52,470","10,960",Enjoyed my stay there on my wedding anniversary day  Friendly staff Amazing location Nice Restaurants Comfortable
14. Rixos Premium Dubai JBR," 60,835","6,347","Amazing service and welcoming staff Luxury hotel Clean hotel Spacious rooms Beautiful view Big pool Tasty Breakfast,"
15. Royal Central Hotel – The Palm," 35,146","2,002",It was a great trip and we enjoyed a lot and finds a wonderful Chef Abdo who helped us
Hilton Dubai The Walk," 23,704","4,822",Every aspect was perfect:
16. Address Sky View," 51,749","2,147",One of the best hotels I've
17. Centara Mirage Beach Resort Dubai," 33,831","2,767",Centara mirage is wonderful i enjoy with my family beach is very nice staff is helpful and specially thanks to namarj sunil and roshan they always
18. Armani Hotel," 61,215","3,530","Excellent experience and nice service, very experienced front manager, beautiful view from room"
19. Address Dubai Mall," 51,591","7,661",One of best hotel
20. The Westin Dubai Mina Seyahi Beach Resort & Marina," 40,528","6,191",Everything was wonderful: beautiful
InterContinental Dubai Marina," 26,293","1,684",George gave an excellent reception and topography of Marina.It was able my first time in Marina and was able to with ease in metro and buses to far as Sharjah and
21. W Dubai - The Palm," 53,121","2,334",great experience Joy was an amazing Host Great location A must visit place if your in dubai A good place to relax from the daily hustle and ease your stress
